	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
101	Eugenia Koblents	"Senior Machine Learning Scientist, United Technologies Research Center Ireland"	https://scholar.google.com/citations?hl=en&user=JDb-iDEAAAAJ	N/A	N/A	N/A												
102	Luis Castillo	"Full Professor of Computer Science, University of Granada"	https://scholar.google.com/citations?hl=en&user=FJ6klX8AAAAJ	N/A	N/A	N/A												
103	Shikhar Sharma	Microsoft	https://scholar.google.com/citations?hl=en&user=bLA7DYwAAAAJ	https://mobile.twitter.com/shikhar_warlock	N/A	shikhar_sharma	shikhar_sharma	shikharkhanna	ShikharSharma3	S567srk	shikhar_____	shikhar_sharma8	tweetshikhar	OopsssNeo	shikhar92084669	_shikhoo_		
104	Elaheh Homayounvala	"Senior Lecturer in Artificial Intelligence and Machine Learning, London Metropolitan University"	https://scholar.google.com/citations?hl=en&user=wCGEyNYAAAAJ	N/A	N/A	ElaHVala	ElaHVala											
105	Lei Jia	Bristol Myers Squibb	https://scholar.google.com/citations?hl=en&user=RDkiwLIAAAAJ	N/A	N/A	N/A												
106	Han van der Aa	University of Mannheim	https://scholar.google.com/citations?hl=en&user=oFagE6cAAAAJ	https://twitter.com/hanvdaa	https://twitter.com/hanvdaa	hanvdaa	hanvdaa											
107	Jekang Park	Pusan National University	https://scholar.google.com/citations?hl=en&user=cJYVS80AAAAJ	N/A	N/A	N/A												
108	Long Zhou	Microsoft Research Asia	https://scholar.google.com/citations?hl=en&user=ZnwgSXIAAAAJ	N/A	N/A	intent	intent											
109	Sushant Patkar	"Artificial Intelligence Resource, Molecular Imaging Branch, NCI"	https://scholar.google.com/citations?hl=en&user=AsIX1JAAAAAJ	https://twitter.com/spatkar94	https://twitter.com/spatkar94	spatkar94	spatkar94	radiolobt	SushantPatekar	sushantpatkar3	sushantpatkar1	danielkbronder	SushantPatkar3					
110	Bai Zhang	"School of Medicine, The Johns Hopkins University"	https://scholar.google.com/citations?hl=en&user=iQHDZrgAAAAJ	https://twitter.com/baizhang	https://twitter.com/baizhang	N/A												
111	Frank Moosmann	Daimler AG	https://scholar.google.com/citations?hl=en&user=5fcOE58AAAAJ	N/A	N/A	N/A												
112	Zengjian Hu	The Energy Authority	https://scholar.google.com/citations?hl=en&user=3BQIfMsAAAAJ	N/A	N/A	N/A												
113	Onur Atan	"University of California, Los Angeles"	https://scholar.google.com/citations?hl=en&user=iuRC7jgAAAAJ	https://twitter.com/onur_atan	https://twitter.com/onur_atan	onuratan08	wolfzphd	OnurAtan10	onrcnn62	onuRAtan08	10uratan	onurATAN	ummodern	onuratan08				
