	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
386	Yanir Seroussi	Monash University	https://scholar.google.com/citations?hl=en&user=NR254LoAAAAJ	N/A	N/A	DataAnalysisLP1	DataAnalysisLP1											
387	Víctor Sánchez-Anguix	Universitat Politècnica de València	https://scholar.google.com/citations?hl=en&user=DIpOnhEAAAAJ	https://twitter.com/drvicsana	https://twitter.com/drvicsana	ukkoislost	ukkoislost											
388	Yunzhi Tan	Tencent	https://scholar.google.com/citations?hl=en&user=dpkRrcUAAAAJ	N/A	N/A	N/A												
389	Viet-Vu Vu	"Vietnam National University, Hanoi"	https://scholar.google.com/citations?hl=en&user=qBQjRToAAAAJ	N/A	N/A	dangvuhung9	dangvuhung9	vviet93	NguMSc	licvnu	east_asia_forum	nguyenquocuy	vnuisglobal	DoanTNUET	RMITVietnam	vnuhcm_info		
390	Ammar Alazab	Melbourne Institute Technology	https://scholar.google.com/citations?hl=en&user=6FZeex0AAAAJ	N/A	N/A	ammar_alazab	ammar_alazab											
391	Dr. Nasir Ahmad	"Associate Professor, University of Engineering & Technology Peshawar, Pakistan"	https://scholar.google.com/citations?hl=en&user=lyi9AhwAAAAJ	N/A	N/A	drnasirahmadda1	upeshpakistan	Zuhaib51338679	DrNasirAhmadDa1	drnasirahmadsaj	nasir9002	drnasirahmadda1	drnasirahmadch	TheNasirAhmad	dr_nasirahmed	nasirahmadlone5		
392	Jun Wan (万军)	"Associate Professor at NLPR,Institute of Automation, Chinese Academy of Sciences (CASIA), China"	https://scholar.google.com/citations?hl=en&user=bSbc7FQAAAAJ	N/A	N/A	wanjunxie	wanjunxie	xinbo67011893	sallinger94	sstuite8	StIoveTw	PP53919048	antiCCPantiCCP	jamesz25507480	Touya369	Trebleet		
393	Youssef NAKKABI	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=n7PZfIIAAAAJ	N/A	N/A	plurilock	plurilock	nakkabi_youssef	YoussefNakkabi	youssef_nakkabi								
394	Zhiyuan Zha (查志远)	Nanyang Technological University	https://scholar.google.com/citations?hl=en&user=JgiasCAAAAAJ	N/A	N/A	lidangzzz	lidangzzz	kenwong_	254794711a	duqiaoxiaoyao	xihongzhuang	cnlionking						
395	Åsa Rudström	Senior Scientific Researcher RISE	https://scholar.google.com/citations?hl=en&user=yyt76dwAAAAJ	https://mobile.twitter.com/asarudstrom	https://mobile.twitter.com/asarudstrom	asarudstrom	asarudstrom	RudstromAsa	AsaRudstrom	SwedenOSI_Bra	annajarno							
396	Stefan Mandl	EXASOL	https://scholar.google.com/citations?hl=en&user=G_MUYicAAAAJ	https://twitter.com/stmandl1	https://twitter.com/stmandl1	stmandl1	stmandl1	mandlstefan	nlp_trainer	StefanMandl	b_mandl							
397	Alexander Ladikos	ImFusion GmbH	https://scholar.google.com/citations?hl=en&user=0fUQE3EAAAAJ	N/A	N/A	N/A												
398	"Mohammed El Hassouni,"	"Full Professor, Computer Science, Mohammed V University in Rabat, Morocco"	https://scholar.google.com/citations?hl=en&user=aIwj9L0AAAAJ	N/A	N/A	mohammedaboimra	mohammedaboimra											
399	Ariadna Quattoni	"dMetrics, USA"	https://scholar.google.com/citations?hl=en&user=D1okUccAAAAJ	https://twitter.com/AriadnaQuattoni	https://twitter.com/AriadnaQuattoni	ariadnaquattoni	ariadnaquattoni	AriadnaQuattoni	la_upc	xavier_nlp								
400	Dhruv Mahajan	"Research Scientist at Computer Vision Group, Facebook AI"	https://scholar.google.com/citations?hl=en&user=Gd9HQn2UsNoC	https://twitter.com/dkm2110	https://twitter.com/dkm2110	dhruv347	dhruv347	dhruvmhjn	LuSun_Selena	Mahajan11Dhruv	dhruvmahajan1	dhruvmahajan9	dhruvv_mahajan	D9213385838	dhruvmahajan23	dhruv712k		
401	Milos Stojmenovic	"Professor of Computer Science, Singidunum University"	https://scholar.google.com/citations?hl=en&user=6rVzpVoAAAAJ	https://twitter.com/Edlerlos	https://twitter.com/Edlerlos	Milosmilograf	Milosmilograf											
402	Saeed Saadat	Heinrich Heine Universität Düsseldorf	https://scholar.google.com/citations?hl=en&user=CXSBKXQAAAAJ	N/A	N/A	syedsaadat55	SyedSaadat55	saeedsa57126457	ssaadatnejad	saeedehsa324212	saadat_k	saeedzabisadat	syedsaadat55	MS_Sadat_1920	saadat1974	SaeedSaadat8		
403	Youyong Kong	"Associate Professor at School of Computer Science and Engineering, Southeast University"	https://scholar.google.com/citations?hl=en&user=0eq6vFAAAAAJ	N/A	N/A	BrundageBot	arxiv_cs_cv_pr	BrundageBot	brundagebot	bogummynoona	xinchengjiejie	tamialiu_						
404	Qurrat Ul Ain	Data Science Principal Accenture	https://scholar.google.com/citations?hl=en&user=NAMmPvEAAAAJ	https://twitter.com/qain_ain9	https://twitter.com/qain_ain9	Dr_qurrat_ulain	lukostaz	chopra_drsapna	Quratulainb	annie_shirazi	Dr_qurrat_ulain	imquratulainali	DrQurratulain3	Quratulain___	TheAnnieLogics	qain_ain9		
405	Michaël Bernier	"A.A. Martinos Center, MGH, Harvard Medical School"	https://scholar.google.com/citations?hl=en&user=AxpUa8IAAAAJ	https://twitter.com/MikeBernierPhD	https://twitter.com/MikeBernierPhD	mikebernierphd	mikebernierphd	berniebernier	Mike_A_Bernier	mikebernier1234	MikeBernierPhD	MichaelBernier_	Shadowlivinloud	MBernierMD				
406	Jordan Cheney	Noblis	https://scholar.google.com/citations?hl=en&user=9jATG0kAAAAJ	N/A	N/A	jordancheneyyyy	jordancheneyyyy	jodie3492	cheney_6	jordycheney	jcheney09	thehill						
407	Chinh Dang	Michigan State University	https://scholar.google.com/citations?hl=en&user=MJ5Ip7oAAAAJ	N/A	N/A	N/A												
408	Lalindra De Silva	University of Utah	https://scholar.google.com/citations?hl=en&user=6aKVqFsAAAAJ	https://twitter.com/lalindra_silva	https://twitter.com/lalindra_silva	Lalindr91677352	Lalindr91677352	lalindra_silva										
409	Shuhang Gu	"ETH, Zurich"	https://scholar.google.com/citations?hl=en&user=-kSTt40AAAAJ	N/A	N/A	arxiv_cs_cv_pr	arxiv_cs_cv_pr											
410	Ruben Stranders	Research Fellow	https://scholar.google.com/citations?hl=en&user=2pfB5kgAAAAJ	N/A	N/A	rubenstranders	RubenVerborgh	rubenstranders										
411	Francisco Silva	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=kLhLbBIAAAAJ	https://twitter.com/DrCisco	https://twitter.com/DrCisco	Fran_silva11	MeadowsMuseum	Fran_silva11	recyeet	x1c0	fsilva008	XxIkKo	DrCisco	Francis111999	lfordisco	franjs27		
412	Syed Mehmud	"Wakely Consulting Group, PredictiveModeler.com"	https://scholar.google.com/citations?hl=en&user=M4k09k4AAAAJ	N/A	N/A	syedmehmood77	syedmuzayan	Syed1Mehmood	SyedMeh60294045	MehmoodSyed19	Murtaza_Mahmud	makhdoomhouse	ifuckswithphzyx	syedmehmood77	SYED_Mehmood1			
413	Noor Farizah Ibrahim	University of Bristol	https://scholar.google.com/citations?hl=en&user=3WIesX0AAAAJ	N/A	N/A	N/A												
414	Anselm Paulus	"B.Sc. Physics & B.Sc. Computer Science Student, University of Tübingen"	https://scholar.google.com/citations?hl=en&user=njZL5CQAAAAJ	https://twitter.com/AnselmPaulus	https://twitter.com/AnselmPaulus	AnselmPaulus	AnselmPaulus	rpatrik96	anselmpaulus	volokuleshov	mar_baga							
415	Ebru ANGUN	"Associate Professor of Operations Research, Galatasaray University"	https://scholar.google.com/citations?hl=en&user=6MiwwtsAAAAJ	N/A	N/A	MEbruAngun	MEbruAngun											
416	Karthik Sekaran	"Teaching Research Assistant, Vellore Institute of Technology"	https://scholar.google.com/citations?hl=en&user=Kst7LyEAAAAJ	N/A	N/A	N/A												
417	Steven Walczak	University of South Florida	https://scholar.google.com/citations?hl=en&user=vKtg3n4AAAAJ	N/A	N/A	N/A												
418	Noah Klarmann	"Full Professor, Rosenheim Technical University of Applied Sciences"	https://scholar.google.com/citations?hl=en&user=OTgfPR0AAAAJ	N/A	N/A	N/A												
419	Xiaoyun Zhang	Shanghai Jiao Tong University	https://scholar.google.com/citations?hl=en&user=0m0aIqsAAAAJ	https://twitter.com/XiaoyunZhang1	https://twitter.com/XiaoyunZhang1	N/A												
420	Sapiah Sakri	Princess Nourah Bint Abdulrahman University	https://scholar.google.com/citations?hl=en&user=JxILir4AAAAJ	N/A	N/A	MAMPUJPM	MAMPUJPM											
421	Hongbo Li (李洪波)	"Associate Professor, School of Management, Shanghai University, China."	https://scholar.google.com/citations?hl=en&user=LXkToL4AAAAJ	N/A	N/A	lihongboart	lihongboart	LiHongboArt	SgArtMuseum									
422	Denio Duarte	"Professor of Computer Science, Federal University of Fronteira Sul"	https://scholar.google.com/citations?hl=en&user=c_rARW4AAAAJ	https://twitter.com/DenioDuarte4	https://twitter.com/DenioDuarte4	denioduarte7	denioduarte7											
423	Nimisha Ghosh	ERCIM Postdoctoral Fellow at University of Warsaw	https://scholar.google.com/citations?hl=en&user=xL2hG8UAAAAJ	N/A	N/A	nimighosh	nimighosh											
424	Zhiwen Fang	"Software Engineer, Google"	https://scholar.google.com/citations?hl=en&user=FfMi_eUAAAAJ	N/A	N/A	vincent_luozw	vincent_luozw	milkywayne	zarazarafa	dan92402341	hibiki__ryoga	CAASDproject						
425	Wen-wai Yim	Microsoft	https://scholar.google.com/citations?hl=en&user=zLbXslcAAAAJ	N/A	N/A	N/A												
426	Santiago Pagani	Software Architect for Driver Assistance Systems at Robert Bosch GmbH	https://scholar.google.com/citations?hl=en&user=SCDIU0IAAAAJ	https://twitter.com/Palata94SP	https://twitter.com/Palata94SP	boschglobal	boschglobal											
427	Djamila Aouada	"Senior Research Scientist, Interdisciplinary Centre for Security, Reliability, and Trust (SnT"	https://scholar.google.com/citations?hl=en&user=WBmJVSkAAAAJ	https://twitter.com/AouadaDjamila	https://twitter.com/AouadaDjamila	uni_lu	uni_lu											
428	Muhammad Abdullah Hanif	"Ph.D. Scholar, Vienna University of Technology"	https://scholar.google.com/citations?hl=en&user=Oxe-MCcAAAAJ	N/A	N/A	N/A												
429	Christos A Nicolaou	"Discovery Chemistry, Eli Lilly & Co."	https://scholar.google.com/citations?hl=en&user=LO-uk0YAAAAJ	N/A	N/A	N/A												
430	Xiaolin Zhang	University of Technology Sydney	https://scholar.google.com/citations?hl=en&user=BPEA2NMAAAAJ	N/A	N/A	N/A												
431	Omid G. Sani	University of Southern California	https://scholar.google.com/citations?hl=en&user=HMRETvYAAAAJ	N/A	N/A	omidsani	omidsani											
432	Jason Wolfe	"Ph.D, University of California, Berkeley"	https://scholar.google.com/citations?hl=en&user=wHlw1L4AAAAJ	https://twitter.com/w01fe	https://twitter.com/w01fe	jasonlwolfe	jasonlwolfe	kjw_chiu	gradepending_	JasonWolf	jasonwolfe	w01fe	Wolfe16	jdwolfe10	jasonwolfe23	jasonwolfepr		
433	Daniel Perea Ström	"Research Engineer, Universidad de La Laguna"	https://scholar.google.com/citations?hl=en&user=E9tbTlUAAAAJ	https://twitter.com/riverstrom	https://twitter.com/riverstrom	riverstrom	riverstrom	system73polynet										
434	Sony Hartono Wijaya	"Lecturer, Computer Science - Bogor Agricultural University"	https://scholar.google.com/citations?hl=en&user=NpxjUQMAAAAJ	https://twitter.com/sonyhartono	https://twitter.com/sonyhartono	sonyhartono	sonyhartono											
435	Eun-Kyoung Kim	Gyeongsang National university	https://scholar.google.com/citations?hl=en&user=9ECmME8AAAAJ	N/A	N/A	EunKim	EunKim	eunkim	koreacrs	ek0214	eunkygk							
436	Miaolin Fan	Massachusetts general hospital	https://scholar.google.com/citations?hl=en&user=M9OTi40AAAAJ	N/A	N/A	melodylfan	MarioSuva	melodylfan										
437	Xiao Zheng	National University of Defense Technology	https://scholar.google.com/citations?hl=en&user=jlDujFcAAAAJ	N/A	N/A	N/A												
438	Fangyin Wei	Princeton University	https://scholar.google.com/citations?hl=en&user=w9rFBkEAAAAJ	N/A	N/A	FangyinW	FangyinW											
439	Yi Wang	Vanier College	https://scholar.google.com/citations?hl=en&user=J8OeawMAAAAJ	N/A	N/A	yyiwang	ko_isko_	wyiqut	appealingmm	Yi_Wang	yiwang_ucl	yiyiwang	yyiwang	yiwangldn	profdryi	Yiii0104		
440	Suzaimah Ramli	"Associate Profesor, National Defence University of Malaysia"	https://scholar.google.com/citations?hl=en&user=Y2NmnkUAAAAJ	https://twitter.com/suzaimahramli	https://twitter.com/suzaimahramli	suzaimahramli	suzaimahramli											
441	Jingjie Yeo (杨晶杰)	"Assistant Professor, Cornell University"	https://scholar.google.com/citations?hl=en&user=iXW_FtMAAAAJ	https://twitter.com/JingjieYeo	https://twitter.com/JingjieYeo	jingjieyeo	jingjieyeo	themartlets										
442	Tao Lei	Shaanxi University of Science and Technology	https://scholar.google.com/citations?hl=en&user=nLpRqykAAAAJ	N/A	N/A	N/A												
443	Huy Tran	Auckland University of Technology	https://scholar.google.com/citations?hl=en&user=rzM6DFUAAAAJ	N/A	N/A	N/A												
444	Esat Tunahan Tuna	Research Assistant	https://scholar.google.com/citations?hl=en&user=Jj9qTkkAAAAJ	N/A	N/A	HAVELSANResmi	HAVELSANResmi											
445	Yuan Xue	Johns Hopkins University	https://scholar.google.com/citations?hl=en&user=yRf1kygAAAAJ	N/A	N/A	yuanxue2011	jenniferdoleac	LianruiZuo	XueyuanXue	eosnini	SerafinaXY811	Soso_Xue	yuanxue2011	snow901130	420375621	xyclare		
446	Homayoun Bagherinia	CZMI	https://scholar.google.com/citations?hl=en&user=HhcxE9kAAAAJ	N/A	N/A	N/A												
447	Vadim Smolyakov	"Data Scientist, Microsoft"	https://scholar.google.com/citations?hl=en&user=NnkWHtUAAAAJ	https://twitter.com/vsmolyakov	https://twitter.com/vsmolyakov	vsmolyakov	vsmolyakov	nationalpepper										
448	Wei Song	"Associate Professor, Capital Normal University, China"	https://scholar.google.com/citations?hl=en&user=MdWnyicAAAAJ	https://twitter.com/msongwei	https://twitter.com/msongwei	msongwei	msongwei	SongWeiLongPH	curiousreduvius	JunWei__Song	DrWeiYiSong	Leeweisong_Paul	wsong83	TheNaique	weiolong	weilongdaiIy		
449	Jamilu Awwalu	Federal University Dutse	https://scholar.google.com/citations?hl=en&user=-0uxcvUAAAAJ	N/A	N/A	distinguish_19	distinguish_19											
450	Wei Yang	NVIDIA	https://scholar.google.com/citations?hl=en&user=6QQX88UAAAAJ	N/A	N/A	yingweiyang	yingweiyang	drweiyang	HamedShahsavan	weiyangph	Space_Syntax	wei_yang_cv	YanglabP	862702678yang	wei_yang	Yangcitadel		
451	Shujaat Hussain	"Assistant Professor, National University of Computer and Emerging Sciences"	https://scholar.google.com/citations?hl=en&user=oyBn4X8AAAAJ	https://twitter.com/shujaathussain	https://twitter.com/shujaathussain	shujaat_hussain	HamxaTweets	GovtofPakistan	DXNNETWORKER	saqibhu60687326	asadnaeem786	gulnazpasha	FoZia_kHaTTaK	nisaarp	shujaat87875780	ChShujatHussain		
452	Henrik Aanaes	3Shape	https://scholar.google.com/citations?hl=en&user=WTjCRE8AAAAJ	N/A	N/A	N/A												
453	Alexander Zimin	Applied Scientist at Amazon	https://scholar.google.com/citations?hl=en&user=872IXvsAAAAJ	N/A	N/A	istaustria	istaustria											
454	Jürgen Hess	Researcher at Fraunhofer IOF	https://scholar.google.com/citations?hl=en&user=8PNGB1gAAAAJ	N/A	N/A	N/A												
455	Nabiha Asghar	Applied Scientist @ Microsoft | PhD @ Waterloo	https://scholar.google.com/citations?hl=en&user=xYFNj60AAAAJ	N/A	N/A	rheartpython	rheartpython											
456	Simone Fontana	Università degli Studi di Milano - Bicocca	https://scholar.google.com/citations?hl=en&user=HC6FqOgAAAAJ	N/A	N/A	simofons	simofons	fntsmn	FaviJacopo	Signals_MDPI	favijacopo	InfoToniolo	verdurini	ovvio76	simonefontana89	SimoneF62457805		
457	Ralf Plänkers	"alumnus, EPF Lausanne, RWTh Aachen"	https://scholar.google.com/citations?hl=en&user=cU6g9dgAAAAJ	N/A	N/A	N/A												
458	Yi Liu	"University of Pittsburgh, Boehringer Ingelheim"	https://scholar.google.com/citations?hl=en&user=3zUfXUAAAAAJ	N/A	N/A	yiliu	61LiuYi	Yi_Liu_	YiLiu_	Yi_Liu_uciess	liuyix	YiLiuMktg	yiliu	Triste_i	yiliu50541358	MnGjBUeHJS5lls4		
459	Karthik Raghunathan	Director of Machine Learning at Cisco MindMeld	https://scholar.google.com/citations?hl=en&user=cEIzj5kAAAAJ	N/A	N/A	N/A												
460	Ben Albrecht	HPE	https://scholar.google.com/citations?hl=en&user=GREgSpQAAAAJ	https://twitter.com/ben_albrecht_	https://twitter.com/ben_albrecht_	ben_albrecht_	ben_albrecht_	BQAlbrecht	bensalbright	pairasol	albrechtben	B3nj4m1nAL	l04dxd15p4tch3r	bensalBRIGHT				
461	Wanderson Gonçalves	Federal University of Pará	https://scholar.google.com/citations?hl=en&user=AgYSJj4AAAAJ	N/A	N/A	wanderson9898	wanderson9898	nin_pontes	Wanders91183519	WandersonNFTs	Wanders70820899	wanders79464424	wanders91183519	wandersonlvto	DCComics			
462	Marie-Anne Lachaux	Facebook AI Research	https://scholar.google.com/citations?hl=en&user=dSEMIJ8AAAAJ	https://twitter.com/malachaux	https://twitter.com/malachaux	MaLachaux	MaLachaux	AnneLachaux										
463	Klemens Schnattinger	Professor of Data Science and Natural Language Processing	https://scholar.google.com/citations?hl=en&user=XNTOoIwAAAAJ	N/A	N/A	N/A												
464	Zhengxia Zou	University of Michigan	https://scholar.google.com/citations?hl=en&user=DzwoyZsAAAAJ	N/A	N/A	CapoNine	CapoNine											
465	Arjun Anand	"AI Research Engineer/Scientist, Intel Labs"	https://scholar.google.com/citations?hl=en&user=Rg7xluMAAAAJ	N/A	N/A	N/A												
466	Deepak Kumar	LinkedIn	https://scholar.google.com/citations?hl=en&user=qYIOqb8AAAAJ	N/A	N/A	N/A												
467	Ashwin Carvalho	"Ph.D. Candidate, University of California Berkeley"	https://scholar.google.com/citations?hl=en&user=qmhXog0AAAAJ	N/A	N/A	N/A												
468	Antonio Starcevic	University of Zagreb Faculty of Food Technology and Biotechnology	https://scholar.google.com/citations?hl=en&user=iyfFFtAAAAAJ	https://twitter.com/antonio_star93	https://twitter.com/antonio_star93	N/A												
469	Lai-Kuan Wong	Multimedia University	https://scholar.google.com/citations?hl=en&user=9ofaMccAAAAJ	N/A	N/A	mmumalaysia	mmumalaysia											
470	Serge Thill	"Donders Institute for Brain, Cognition, and Behaviour, Radboud University"	https://scholar.google.com/citations?hl=en&user=VNV3YhwAAAAJ	https://twitter.com/sergethill	https://twitter.com/sergethill	N/A												
471	Harsh Saini	University of the South Pacific	https://scholar.google.com/citations?hl=en&user=ft_85w4AAAAJ	N/A	N/A	N/A												
472	Khurram Javed	University of Alberta	https://scholar.google.com/citations?hl=en&user=wG1tGakAAAAJ	https://twitter.com/khurramjaved_96	https://twitter.com/khurramjaved_96	khurramjaved_96	khurramjaved_96											
473	Asif Iqbal Khan	University of Kashmir	https://scholar.google.com/citations?hl=en&user=dGqpGYkAAAAJ	N/A	N/A	N/A												
474	Ali Ahmadian	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=DLvhmvYAAAAJ	N/A	N/A	N/A												
475	"Mahdi Jamshidinia, PhD"	ASTM International	https://scholar.google.com/citations?hl=en&user=LolmBnIAAAAJ	https://twitter.com/MJamshidinia	https://twitter.com/MJamshidinia	astmamcoe	astmamcoe											
476	Boris X. Vintimilla Burgos	Escuela Superior Politécnica del Litoral - ESPOL	https://scholar.google.com/citations?hl=en&user=1LO6KBUAAAAJ	N/A	N/A	N/A												
477	Prof. Dr.-Ing. Morris Riedel	"Professor of High Performance Computing & Machine Learning, Forschungszentrum Juelich & UoIceland"	https://scholar.google.com/citations?hl=en&user=iXu1OP8AAAAJ	https://twitter.com/morrisriedel	https://twitter.com/morrisriedel	morrisriedel	morrisriedel											
478	Oliver Whyte	Microsoft	https://scholar.google.com/citations?hl=en&user=EVdWS-4AAAAJ	N/A	N/A	N/A												
479	Ryan Roth	Google	https://scholar.google.com/citations?hl=en&user=HlaRB3AAAAAJ	N/A	N/A	N/A												
480	Shumit Saha	"University Health Network, University of Toronto"	https://scholar.google.com/citations?hl=en&user=JWMTPUsAAAAJ	https://twitter.com/sahashumit	https://twitter.com/sahashumit	N/A												
481	Xinyu (Felix) Wei	STATS	https://scholar.google.com/citations?hl=en&user=zawDLOYAAAAJ	N/A	N/A	N/A												
482	Mingze Xu	"Applied Scientist, AWS AI"	https://scholar.google.com/citations?hl=en&user=KNcECJQAAAAJ	https://twitter.com/xmz0308	https://twitter.com/xmz0308	N/A												
483	Zhongyi Han	Shandong University	https://scholar.google.com/citations?hl=en&user=0J-PErUAAAAJ	https://twitter.com/zhongyi_han	https://twitter.com/zhongyi_han	N/A												
484	Douwe Kiela	"Research Scientist, Facebook AI Research"	https://scholar.google.com/citations?hl=en&user=Q0piorUAAAAJ	https://twitter.com/douwekiela	https://twitter.com/douwekiela	douwekiela	douwekiela											
485	Jorge Azorín-López	"Associate Professor, University of Alicante"	https://scholar.google.com/citations?hl=en&user=evDsIucAAAAJ	https://twitter.com/jazorinl	https://twitter.com/jazorinl	JAzorinL	JAzorinL											
486	Chenghao Liu	Salesforce Research Asia	https://scholar.google.com/citations?hl=en&user=OvwvSXwAAAAJ	https://twitter.com/chenghaoliu1989	https://twitter.com/chenghaoliu1989	N/A												
487	Dr Yousef Amar	"CTO, Krew Live Ltd"	https://scholar.google.com/citations?hl=en&user=leiXo_IAAAAJ	N/A	N/A	N/A												
488	Leandro Augusto Frata Fernandes	"Instituto de Computação (IC), Universidade Federal Fluminense (UFF)"	https://scholar.google.com/citations?hl=en&user=4OcyYJ4AAAAJ	N/A	N/A	N/A												
489	Nedeljko Dučić	"University of Kragujevac, Faculty of Technical Sciences Čačak"	https://scholar.google.com/citations?hl=en&user=CucsXV0AAAAJ	N/A	N/A	N/A												
490	jose luis alvarez rico	Novaquality Consulting	https://scholar.google.com/citations?hl=en&user=kBKz7z0AAAAJ	N/A	N/A	N/A												
491	Petr Nejedly	Institute of Scientific Instruments of the Czech Academy of Science	https://scholar.google.com/citations?hl=en&user=me0Zm9AAAAAJ	N/A	N/A	N/A												
492	Amir Hertz	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=mnk__kYAAAAJ	https://twitter.com/hertz_amir	https://twitter.com/hertz_amir	hertz_amir	hertz_amir	memdotai	replicatehq	ranahanocka	CVpaperChalleng	hertz						
493	Christian Wagner	University of Nottingham	https://scholar.google.com/citations?hl=en&user=tAQTJRIAAAAJ	N/A	N/A	MilitantThomist	MilitantThomist	adinakrik	fzj_rdm	presidentwagner	christianwags	wagner_digital	ChristianW251	cw7_christian				
494	Xiaohan Ding	Tsinghua University	https://scholar.google.com/citations?hl=en&user=CIjw0KoAAAAJ	N/A	N/A	xxxxding_	xxxxding_											
495	Alvaro Martinez Barrio	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=ZeibDHAAAAAJ	https://twitter.com/ambarrio	https://twitter.com/ambarrio	ambarrio	ambarrio	arqmartinezpmb	ArqMartinezPMB	steelstahl								
496	Chris Dyer	"DeepMind, Carnegie Mellon"	https://scholar.google.com/citations?hl=en&user=W2DsnAkAAAAJ	https://twitter.com/redpony	https://twitter.com/redpony	redpony	redpony	JChrisDyer	ChrisPDyer	GalakticGangNFT	positivecreator	ChrisDyer81	Superbly_Chris	ChrisDyer15	chrisdyerauthor	ConSpark86		
497	Martin Engelcke	DeepMind	https://scholar.google.com/citations?hl=en&user=MDaD5mEAAAAJ	https://twitter.com/martinengelcke	https://twitter.com/martinengelcke	martinengelcke	martinengelcke	a2i_oxford	BplLaw	MLStreetTalk								
498	Rohit Punnoose	XLRI – Xavier School of Management	https://scholar.google.com/citations?hl=en&user=ZUxZPYoAAAAJ	https://twitter.com/rohitpunnoose	https://twitter.com/rohitpunnoose	rohitpunnoose	rohitpunnoose											
499	Kaiyue Pang	"SketchX, CVSSP, University of Surrey"	https://scholar.google.com/citations?hl=en&user=kR3zzeUAAAAJ	N/A	N/A	bagetswanted	bagetswanted											
500	Aitor Soroa	"Associate professor, University of the Basque Country"	https://scholar.google.com/citations?hl=en&user=yklm660AAAAJ	N/A	N/A	aitor57	aitor57											
