	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates									
104	Elaheh Homayounvala	"Senior Lecturer in Artificial Intelligence and Machine Learning, London Metropolitan University"	https://scholar.google.com/citations?hl=en&user=wCGEyNYAAAAJ	N/A	N/A	N/A										
105	Lei Jia	Bristol Myers Squibb	https://scholar.google.com/citations?hl=en&user=RDkiwLIAAAAJ	N/A	N/A	diberri	diberri									
106	Han van der Aa	University of Mannheim	https://scholar.google.com/citations?hl=en&user=oFagE6cAAAAJ	https://twitter.com/hanvdaa	https://twitter.com/hanvdaa	hanvdaa	hanvdaa									
107	Jekang Park	Pusan National University	https://scholar.google.com/citations?hl=en&user=cJYVS80AAAAJ	N/A	N/A	maijadevine	maijadevine									
108	Long Zhou	Microsoft Research Asia	https://scholar.google.com/citations?hl=en&user=ZnwgSXIAAAAJ	N/A	N/A	lingzhou_	lingzhou_									
109	Sushant Patkar	"Artificial Intelligence Resource, Molecular Imaging Branch, NCI"	https://scholar.google.com/citations?hl=en&user=AsIX1JAAAAAJ	https://twitter.com/spatkar94	https://twitter.com/spatkar94	spatkar94	spatkar94	sushantpatkar3	sushantpatkar1	danielkbronder	SushantPatkar3	SushantPatekar				
110	Bai Zhang	"School of Medicine, The Johns Hopkins University"	https://scholar.google.com/citations?hl=en&user=iQHDZrgAAAAJ	https://twitter.com/baizhang	https://twitter.com/baizhang	Hopkins_Rad	Hopkins_Rad									
111	Frank Moosmann	Daimler AG	https://scholar.google.com/citations?hl=en&user=5fcOE58AAAAJ	N/A	N/A	musiconvalley	musiconvalley									
112	Zengjian Hu	The Energy Authority	https://scholar.google.com/citations?hl=en&user=3BQIfMsAAAAJ	N/A	N/A	eSmart_Systems	eSmart_Systems									
113	Onur Atan	"University of California, Los Angeles"	https://scholar.google.com/citations?hl=en&user=iuRC7jgAAAAJ	https://twitter.com/onur_atan	https://twitter.com/onur_atan	N/A	wolfzphd									
114	Muhammad Imran	"Agriculture University, Peshawar"	https://scholar.google.com/citations?hl=en&user=03JQgaYAAAAJ	N/A	N/A	mimran15	ForBiorisk	mimran15	mhdkhan7	imranazamshaikh	upeshpakistan	agriunipeshawar				
115	Konstantinos Demestichas	National Technical University of Athens	https://scholar.google.com/citations?hl=en&user=WmWbc0MAAAAJ	https://twitter.com/kdemestichas	https://twitter.com/kdemestichas	vehicles_mdpi	vehicles_mdpi									
116	Jose Segovia-Juarez	National Academy of Sciences of Peru	https://scholar.google.com/citations?hl=en&user=TYctETkAAAAJ	https://twitter.com/joselsegoviaj	https://twitter.com/joselsegoviaj	JoseLSegoviaJ	JoseLSegoviaJ	joselsegoviaj	westtexkid							
117	anirudh prabhu	Carnegie Institution for Science	https://scholar.google.com/citations?hl=en&user=IPqhTlYAAAAJ	https://twitter.com/Anirudh_14	https://twitter.com/Anirudh_14	anirudh_14	anirudh_14									
118	Reinhard Rapp	University of Mainz	https://scholar.google.com/citations?hl=en&user=RVz6pI4AAAAJ	N/A	N/A	reinhardheinis1	reinhardheinis1	redbowtiepiano	rcvryrox	alvations	sarkodie	jpschimel				
119	S. Karthick	Research Scholar	https://scholar.google.com/citations?hl=en&user=3gBKdgIAAAAJ	N/A	N/A	N/A	S_KARTHICK1993									
120	Steffen Schnitzer	Technische Universität Darmstadt - Multimedia Communications Lab	https://scholar.google.com/citations?hl=en&user=bVekWzYAAAAJ	https://twitter.com/steffenms	N/A	steffenms	steffenms									
121	Ajith Pasqual	"Senior Lecturer, University of Moratuwa"	https://scholar.google.com/citations?hl=en&user=Q3N04jcAAAAJ	https://twitter.com/aapasqual	https://twitter.com/aapasqual	sanjiva	sanjiva	nishansiriwarde	JayathriW							
